"placa","estatus","placa_anterior","years_adeudos","years"
"314WEN","Sin adeudos",NA,0,"0"
"314WES","Sin adeudos",NA,0,"0"
"316VJX","Adeudos",NA,1,"2021"
"316VKB","Adeudos",NA,5,"2017"
"316VKB","Adeudos",NA,5,"2018"
"316VKB","Adeudos",NA,5,"2019"
"316VKB","Adeudos",NA,5,"2020"
"316VKB","Adeudos",NA,5,"2021"
"316VKC","Sin adeudos",NA,0,"0"
"316VKD","Adeudos",NA,6,"2016"
"316VKD","Adeudos",NA,6,"2017"
"316VKD","Adeudos",NA,6,"2018"
"316VKD","Adeudos",NA,6,"2019"
"316VKD","Adeudos",NA,6,"2020"
"316VKD","Adeudos",NA,6,"2021"
"316VKG","Cuenta con Placa Anterior y Sin adeudos","316VKG",0,"0"
"316VKJ","Sin adeudos",NA,0,"0"
"316VKP","Adeudos",NA,3,"2019"
"316VKP","Adeudos",NA,3,"2020"
"316VKP","Adeudos",NA,3,"2021"
"316VKS","Sin adeudos",NA,0,"0"
"316VKT","Adeudos",NA,6,"2016"
"316VKT","Adeudos",NA,6,"2017"
"316VKT","Adeudos",NA,6,"2018"
"316VKT","Adeudos",NA,6,"2019"
"316VKT","Adeudos",NA,6,"2020"
"316VKT","Adeudos",NA,6,"2021"
"316VKZ","Cuenta con Placa Anterior y Adeudos","316VKZ",4,"2018"
"316VKZ","Cuenta con Placa Anterior y Adeudos","316VKZ",4,"2019"
"316VKZ","Cuenta con Placa Anterior y Adeudos","316VKZ",4,"2020"
"316VKZ","Cuenta con Placa Anterior y Adeudos","316VKZ",4,"2021"
"316VLE","Adeudos",NA,2,"2020"
"316VLE","Adeudos",NA,2,"2021"
"316VLJ","Adeudos",NA,1,"2021"
"316VLL","Sin adeudos",NA,0,"0"
"316VLN","Adeudos",NA,6,"2016"
"316VLN","Adeudos",NA,6,"2017"
"316VLN","Adeudos",NA,6,"2018"
"316VLN","Adeudos",NA,6,"2019"
"316VLN","Adeudos",NA,6,"2020"
