"placa","estatus"
"CW173","Placa anterior: 775MPK"
"CW175","Adeudos"
"CW177","Adeudos"
"CW183","Placa anterior: 788NDM"
"CW186","Placa anterior: 227MBY"
"CW187","Placa anterior: 914RWC"
"CW192","Adeudos"
"CW194","Placa anterior: 485PWL"
"CW197","Sin adeudos"
"CW198","Sin adeudos"
"CW203","Placa anterior: 285NER"
"CW206","Sin adeudos"
"CW211","Adeudos"
"CW212","Placa anterior: 468NUA"
"CW214","Sin adeudos"
"CW215","Adeudos"
"CW216","Sin adeudos"
"CW217","Placa anterior: 307NKG"
"CW218","Placa anterior: 123RPC"
"CW219","Placa anterior: 285NRA"
"CW220","Sin adeudos"
"CW223","Placa anterior: 576PYK"
"CW224","Adeudos"
"CW225","Adeudos"
"CW227","Placa anterior: 686NXE"
"CW228","Placa anterior: 153NVU"
"CW231","Sin adeudos"
"CW235","Adeudos"
"CW238","Placa anterior: 794BRZ"
"CW239","Adeudos"
"CW240","Sin adeudos"
"CW242","Sin adeudos"
"CW243","Placa anterior: 103NEP"
"CW244","Sin adeudos"
"CW245","Placa anterior: 425TFY"
"CW246","Adeudos"
"CW248","Placa anterior: 733AHD"
"CW249","Placa anterior: 366NBT"
"CW250","Placa anterior: 748PAL"
"CW251","Adeudos"
"CW254","Adeudos"
"CW258","Sin adeudos"
"CW259","Placa anterior: 858HJF"
"CW260","Adeudos"
"CW262","Adeudos"
"CW263","Adeudos"
"CW265","Placa anterior: 754PLR"
"CW267","Sin adeudos"
"CW268","Adeudos"
"CW269","Placa anterior: 446PYN"
"CW270","Placa anterior: 120DJV"
"CW272","Adeudos"
"CW275","Placa anterior: 262MBM"
"CW277","Adeudos"
"CW278","Placa anterior: 782NRU"
"CW279","Placa anterior: 853PYC"
"CW282","Sin adeudos"
"CW284","Placa anterior: 287RKU"
"CW287","Placa anterior: 779NNC"
"CW288","Sin adeudos"
"CW293","Placa anterior: 150MVY"
"CW294","Placa anterior: 142NMJ"
"CW299","Placa anterior: 313WDT"
"CW301","Adeudos"
"CW302","Placa anterior: CN531"
"CW303","Adeudos"
"CW304","Adeudos"
"CW307","Adeudos"
"CW308","Adeudos"
"CW309","Adeudos"
"CW310","Sin adeudos"
"CW311","Adeudos"
"CW312","Placa anterior: 732RKG"
"CW313","Placa anterior: 504TRR"
"CW316","Placa anterior: 630NEH"
"CW319","Sin adeudos"
"CW324","Adeudos"
"CW333","Sin adeudos"
"CW334","Adeudos"
"CW335","Placa anterior: 173SDJ"
"CW338","Sin adeudos"
"CW341","Adeudos"
"CW346","Adeudos"
"CW347","Placa anterior: 804WCH"
"CW349","Placa anterior: 285NLR"
"CW350","Placa anterior: 675MDW"
"CW353","Sin adeudos"
"CW356","Placa anterior: 376NDD"
"CW358","Adeudos"
"CW359","El número de placa no se localizó en el padrón"
"CW361","Adeudos"
"CW366","Placa anterior: 332NWF"
"CW369","Adeudos"
"CW370","Adeudos"
"CW373","Placa anterior: 709PBJ"
"CW376","Placa anterior: 324MMW"
"CW379","Adeudos"
"CW380","Placa anterior: 485NFY"
"CW382","ERROR. Revisar Placa"
"CW384","Placa anterior: 477SDF"
"CW386","Placa anterior: 519PTB"
"CW387","Adeudos"
"CW389","Sin adeudos"
"CW391","Sin adeudos"
"CW393","Adeudos"
"CW394","Adeudos"
"CW396","Placa anterior: 759URW"
"CW398","Adeudos"
"CW400","Placa anterior: 275MLM"
"CW403","Adeudos"
"CW406","Adeudos"
"CW407","Placa anterior: 256MMW"
"CW408","Adeudos"
"CW411","Sin adeudos"
"CW413","Placa anterior: 612RRP"
"CW414","Adeudos"
"CW415","Sin adeudos"
"CW422","Adeudos"
"CW423","Sin adeudos"
"CW424","Sin adeudos"
"CW425","Adeudos"
"CW426","Adeudos"
"CW428","Sin adeudos"
"CW431","Placa anterior: 971MVG"
"CW432","Adeudos"
"CW433","ERROR. Revisar Placa"
"CW438","ERROR. Revisar Placa"
"CW440","ERROR. Revisar Placa"
"CW442","Adeudos"
"CW443","Sin adeudos"
"CW444","Adeudos"
"CW448","Placa anterior: CV615"
"CW449","Adeudos"
"CW450","Adeudos"
"CW451","Sin adeudos"
"CW453","Placa anterior: 884PDN"
"CW455","Placa anterior: 633PPJ"
"CW459","Placa anterior: 284UPS"
"CW461","Adeudos"
"CW463","Adeudos"
"CW465","Placa anterior: 735BLG"
"CW466","Sin adeudos"
"CW467","ERROR. Revisar Placa"
"CW469","Sin adeudos"
"CW470","Placa anterior: 154MBM"
"CW472","Placa anterior: 334MXN"
"CW473","Adeudos"
"CW475","Sin adeudos"
"CW477","Placa anterior: CM248"
"CW479","Placa anterior: 997RVV"
"CW480","Placa anterior: 972RWG"
"CW481","Placa anterior: 821NZH"
"CW482","Sin adeudos"
"CW483","Adeudos"
"CW486","Placa anterior: 675NGM"
"CW489","Adeudos"
"CW494","Adeudos"
"CW496","Adeudos"
"CW499","Adeudos"
"CW500","Sin adeudos"
"CW508","Adeudos"
"CW509","Placa anterior: 422VJJ"
"CW510","Adeudos"
"CW513","Adeudos"
"CW515","Placa anterior: 855PWJ"
"CW521","Placa anterior: 695MLZ"
"CW522","Placa anterior: 943EKD"
"CW528","Placa anterior: 181RRG"
"CW533","Adeudos"
"CW535","Placa anterior: 887MLR"
"CW536","Adeudos"
"CW542","Placa anterior: 760PLR"
"CW544","Placa anterior: 509MCA"
"CW549","Placa anterior: 277MDA"
"CW550","Placa anterior: 933MPP"
"CW552","Placa anterior: 197NTC"
"CW553","Adeudos"
"CW557","Placa anterior: 366MZT"
"CW558","Sin adeudos"
"CW559","Placa anterior: 332MYL"
"CW560","Placa anterior: 495NDX"
"CW563","El número de placa no se localizó en el padrón"
"CW566","Adeudos"
"CW568","Adeudos"
"CW569","Sin adeudos"
"CW570","Adeudos"
"CW572","Placa anterior: 543MLU"
"CW576","Adeudos"
"CW577","Sin adeudos"
"CW578","Adeudos"
"CW580","Adeudos"
"CW585","Adeudos"
"CW591","Placa anterior: 809MHR"
"CW594","Adeudos"
