placa|estatus
794UAP|Adeudos
794UAT|Sin adeudos
794UAV|Adeudos
794UAY|Adeudos
794UB|Placa anterior: 949THE
794UBC|Adeudos
794UBD|Adeudos
794UBL|Adeudos
794UBS|Adeudos
794UBW|Adeudos
794UC|Adeudos
794UCC|Adeudos
794UCL|Sin adeudos
794UCS|Adeudos
794UCY|Adeudos
794UD|Adeudos
794UDB|Placa anterior: 492SYD
794UDF|Sin adeudos
794UDH|Sin adeudos
794UDK|Sin adeudos
794UDM|Adeudos
794UDU|Adeudos
794UDW|Adeudos
794UE|Placa anterior: 441ZHE
794UED|Sin adeudos
794UEH|Adeudos
794UEJ|Sin adeudos
794UEW|Sin adeudos
794UF|Sin adeudos
794UFA|Adeudos
794UFB|Sin adeudos
794UFC|Adeudos
794UFF|Adeudos
794UFH|Adeudos
794UFN|Adeudos
794UFY|Adeudos
794UG|Placa anterior: 846VXR
794UGH|Adeudos
794UGJ|Adeudos
794UGL|Adeudos
794UGN|Adeudos
794UGP|Adeudos
794UGR|Adeudos
794UGT|Sin adeudos
794UGW|Adeudos
794UGZ|Sin adeudos
794UH|Sin adeudos
794UHA|Adeudos
794UHB|ERROR. Revisar Placa
794UHG|Sin adeudos
794UHJ|Adeudos
794UHL|Adeudos
794UHT|Adeudos
794UHV|Adeudos
794UHY|Adeudos
794UJH|Adeudos
794UJK|Sin adeudos
792TUK|Adeudos
792TUM|Adeudos
792TUN|Sin adeudos
792TUT|Sin adeudos
792TUU|Adeudos
792TUY|Adeudos
792TUZ|Adeudos
792TV|Placa anterior: 766PHY
792TVP|Adeudos
792TVR|Adeudos
792TVU|Adeudos
792TVZ|Adeudos
792TW|ERROR. Revisar Placa
792TWM|ERROR. Revisar Placa
792TWP|ERROR. Revisar Placa
792TWR|Sin adeudos
792TWU|Adeudos
792TWV|Adeudos
792TWZ|Adeudos
792TX|Adeudos
792TXA|Sin adeudos
792TXC|Adeudos
792TXE|Adeudos
792TXF|Adeudos
792TXH|Adeudos
792TXS|Adeudos
792TXZ|Adeudos
