"placa","estatus"
"245YMF","Sin adeudos"
"245YMG","Adeudos"
"245YMJ","Adeudos"
"245YML","Adeudos"
"245YMP","Sin adeudos"
"245YMR","Sin adeudos"
"245YMV","Adeudos"
"245YMW","Sin adeudos"
"245YMX","Adeudos"
"245YMZ","Sin adeudos"
"245YNA","Adeudos"
"245YNB","Sin adeudos"
"245YND","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"245YNE","Sin adeudos"
"245YNF","Adeudos"
"245YNG","Adeudos"
"245YNH","Placa anterior: 739YNB"
"245YNJ","Sin adeudos"
"245YNK","Adeudos"
"245YNL","Sin adeudos"
"245YNM","Adeudos"
"245YNP","Adeudos"
"245YNR","Adeudos"
"245YNS","Adeudos"
"245YNT","Adeudos"
"245YNU","Sin adeudos"
"245YNV","Adeudos"
"245YNW","Adeudos"
"245YNZ","Adeudos"
"245YPA","Adeudos"
"245YPB","El número de placa no se localizó en el padrón"
"245YPC","Sin adeudos"
"245YPE","Sin adeudos"
"245YPF","El número de placa no se localizó en el padrón"
"245YPH","Adeudos"
"245YPJ","Adeudos"
"245YPK","Sin adeudos"
"245YPL","Sin adeudos"
"245YPM","Sin adeudos"
"245YPN","Adeudos"
"245YPP","ERROR. Revisar Placa"
"245YPR","ERROR. Revisar Placa"
"245YPS","ERROR. Revisar Placa"
"245YPV","ERROR. Revisar Placa"
"245YPW","ERROR. Revisar Placa"
"245YPX","ERROR. Revisar Placa"
"245YPY","ERROR. Revisar Placa"
"245YRA","ERROR. Revisar Placa"
"245YRB","ERROR. Revisar Placa"
"245YRC","ERROR. Revisar Placa"
"245YRD","ERROR. Revisar Placa"
"245YRE","ERROR. Revisar Placa"
"245YRF","ERROR. Revisar Placa"
"245YRG","ERROR. Revisar Placa"
"245YRH","ERROR. Revisar Placa"
"245YRJ","ERROR. Revisar Placa"
"245YRL","ERROR. Revisar Placa"
"245YRN","ERROR. Revisar Placa"
"245YRP","ERROR. Revisar Placa"
"245YRS","ERROR. Revisar Placa"
"245YRT","ERROR. Revisar Placa"
"245YRU","ERROR. Revisar Placa"
"245YRV","ERROR. Revisar Placa"
"245YRW","ERROR. Revisar Placa"
"245YRX","ERROR. Revisar Placa"
"245YRY","ERROR. Revisar Placa"
"245YSA","ERROR. Revisar Placa"
"245YSB","ERROR. Revisar Placa"
"245YSC","ERROR. Revisar Placa"
"245YSD","ERROR. Revisar Placa"
"245YSE","ERROR. Revisar Placa"
"245YSG","ERROR. Revisar Placa"
"245YSJ","ERROR. Revisar Placa"
"245YSL","ERROR. Revisar Placa"
"245YSM","ERROR. Revisar Placa"
"245YSP","ERROR. Revisar Placa"
"245YSR","ERROR. Revisar Placa"
"245YSS","ERROR. Revisar Placa"
"245YSU","ERROR. Revisar Placa"
"245YSV","ERROR. Revisar Placa"
"245YSX","ERROR. Revisar Placa"
"245YSY","ERROR. Revisar Placa"
"245YSZ","ERROR. Revisar Placa"
"245YTB","ERROR. Revisar Placa"
"245YTC","ERROR. Revisar Placa"
"245YTD","ERROR. Revisar Placa"
"245YTF","ERROR. Revisar Placa"
"245YTG","ERROR. Revisar Placa"
"245YTH","ERROR. Revisar Placa"
"245YTJ","ERROR. Revisar Placa"
"245YTK","ERROR. Revisar Placa"
"245YTL","ERROR. Revisar Placa"
"245YTM","ERROR. Revisar Placa"
"245YTN","ERROR. Revisar Placa"
"245YTP","ERROR. Revisar Placa"
"245YTR","ERROR. Revisar Placa"
"245YTS","ERROR. Revisar Placa"
"245YTT","ERROR. Revisar Placa"
"245YTU","ERROR. Revisar Placa"
"245YTV","ERROR. Revisar Placa"
"245YTW","ERROR. Revisar Placa"
"245YTY","ERROR. Revisar Placa"
"245YUB","ERROR. Revisar Placa"
"245YUD","ERROR. Revisar Placa"
"245YUE","ERROR. Revisar Placa"
"245YUF","ERROR. Revisar Placa"
"245YUG","ERROR. Revisar Placa"
"245YUJ","ERROR. Revisar Placa"
"245YUL","ERROR. Revisar Placa"
"245YUM","ERROR. Revisar Placa"
"245YUN","ERROR. Revisar Placa"
"245YUP","ERROR. Revisar Placa"
"245YUR","ERROR. Revisar Placa"
"245YUS","ERROR. Revisar Placa"
"245YUV","ERROR. Revisar Placa"
"245YUW","ERROR. Revisar Placa"
"245YUY","ERROR. Revisar Placa"
"245YUZ","ERROR. Revisar Placa"
"245YVA","ERROR. Revisar Placa"
"245YVB","ERROR. Revisar Placa"
"245YVD","ERROR. Revisar Placa"
"245YVE","ERROR. Revisar Placa"
"245YVF","ERROR. Revisar Placa"
"245YVH","ERROR. Revisar Placa"
"245YVK","ERROR. Revisar Placa"
"245YVM","ERROR. Revisar Placa"
"245YVN","ERROR. Revisar Placa"
"245YVP","ERROR. Revisar Placa"
"245YVR","ERROR. Revisar Placa"
"245YVS","ERROR. Revisar Placa"
"245YVT","ERROR. Revisar Placa"
"245YVW","ERROR. Revisar Placa"
"245YVX","ERROR. Revisar Placa"
"245YVY","ERROR. Revisar Placa"
"245YVZ","ERROR. Revisar Placa"
"245YWA","ERROR. Revisar Placa"
"245YWB","ERROR. Revisar Placa"
"245YWD","ERROR. Revisar Placa"
"245YWF","ERROR. Revisar Placa"
"245YWG","ERROR. Revisar Placa"
"245YWH","ERROR. Revisar Placa"
"245YWM","ERROR. Revisar Placa"
"245YWN","ERROR. Revisar Placa"
"245YWP","ERROR. Revisar Placa"
"245YWR","ERROR. Revisar Placa"
"245YWS","ERROR. Revisar Placa"
"245YWT","ERROR. Revisar Placa"
"245YWU","ERROR. Revisar Placa"
"245YWV","ERROR. Revisar Placa"
"245YWW","ERROR. Revisar Placa"
"245YWX","ERROR. Revisar Placa"
"245YWY","ERROR. Revisar Placa"
"245YWZ","ERROR. Revisar Placa"
"245YXA","ERROR. Revisar Placa"
"245YXC","ERROR. Revisar Placa"
"245YXD","ERROR. Revisar Placa"
"245YXE","ERROR. Revisar Placa"
"245YXF","ERROR. Revisar Placa"
"245YXG","ERROR. Revisar Placa"
"245YXH","ERROR. Revisar Placa"
"245YXJ","ERROR. Revisar Placa"
"245YXK","ERROR. Revisar Placa"
"245YXL","ERROR. Revisar Placa"
"245YXM","ERROR. Revisar Placa"
"245YXN","ERROR. Revisar Placa"
"245YXS","ERROR. Revisar Placa"
"245YXT","ERROR. Revisar Placa"
"245YXU","ERROR. Revisar Placa"
"245YXV","ERROR. Revisar Placa"
"245YXX","ERROR. Revisar Placa"
"245YXY","ERROR. Revisar Placa"
"245YYA","ERROR. Revisar Placa"
"245YYB","ERROR. Revisar Placa"
"245YYC","ERROR. Revisar Placa"
"245YYD","ERROR. Revisar Placa"
"245YYF","ERROR. Revisar Placa"
"245YYG","ERROR. Revisar Placa"
"245YYJ","ERROR. Revisar Placa"
"245YYK","ERROR. Revisar Placa"
"245YYL","ERROR. Revisar Placa"
"245YYM","ERROR. Revisar Placa"
"245YYR","ERROR. Revisar Placa"
"245YYS","ERROR. Revisar Placa"
"245YYT","ERROR. Revisar Placa"
"245YYW","ERROR. Revisar Placa"
"245YYX","ERROR. Revisar Placa"
"245YYY","ERROR. Revisar Placa"
"245YZA","ERROR. Revisar Placa"
"245YZB","ERROR. Revisar Placa"
"245YZC","ERROR. Revisar Placa"
"245YZD","ERROR. Revisar Placa"
"245YZE","ERROR. Revisar Placa"
"245YZG","ERROR. Revisar Placa"
"245YZH","ERROR. Revisar Placa"
"245YZJ","ERROR. Revisar Placa"
"245YZM","ERROR. Revisar Placa"
"245YZP","ERROR. Revisar Placa"
"245YZR","ERROR. Revisar Placa"
"245YZS","ERROR. Revisar Placa"
"245YZT","ERROR. Revisar Placa"
"245YZU","ERROR. Revisar Placa"
"245YZV","ERROR. Revisar Placa"
"245YZX","ERROR. Revisar Placa"
"245YZY","ERROR. Revisar Placa"
"245YZZ","ERROR. Revisar Placa"
"245ZAB","ERROR. Revisar Placa"
"245ZAD","ERROR. Revisar Placa"
"245ZAE","ERROR. Revisar Placa"
"245ZAF","ERROR. Revisar Placa"
"245ZAG","ERROR. Revisar Placa"
"245ZAH","ERROR. Revisar Placa"
"245ZAM","ERROR. Revisar Placa"
"245ZAN","ERROR. Revisar Placa"
"245ZAP","ERROR. Revisar Placa"
