"placa","estatus"
"257YYB","Adeudos"
"257YYC","El número de placa no se localizó en el padrón"
"257YYD","Adeudos"
"257YYE","Adeudos"
"257YYF","El número de placa no se localizó en el padrón"
"257YYG","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"257YYH","Adeudos"
"257YYJ","Sin adeudos"
"257YYK","Adeudos"
"257YYL","Placa anterior: 780TWU"
"257YYM","Adeudos"
"257YYP","Adeudos"
"257YYR","Placa anterior: 257YYR"
"257YYS","Sin adeudos"
"257YYT","Sin adeudos"
"257YYU","Adeudos"
"257YYV","Adeudos"
"257YYW","Adeudos"
"257YZA","Adeudos"
"257YZB","Sin adeudos"
"257YZC","Adeudos"
"257YZD","Sin adeudos"
"257YZE","Adeudos"
"257YZF","Sin adeudos"
"257YZG","Adeudos"
"257YZJ","Sin adeudos"
"257YZK","Sin adeudos"
"257YZL","Sin adeudos"
"257YZN","Sin adeudos"
"257YZP","Adeudos"
"257YZR","Sin adeudos"
"257YZS","Placa anterior: 257YZS"
"257YZT","Sin adeudos"
"257YZU","Sin adeudos"
"257YZV","Sin adeudos"
"257YZX","Adeudos"
"257YZY","Sin adeudos"
"257YZZ","Adeudos"
"257ZAA","Sin adeudos"
"257ZAB","Adeudos"
"257ZAD","Placa anterior: 945ULE"
"257ZAE","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"257ZAF","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"257ZAG","Adeudos"
"257ZAH","Placa anterior: 123YRR"
"257ZAJ","Adeudos"
"257ZAM","ERROR. Revisar Placa"
"257ZAN","ERROR. Revisar Placa"
"257ZAP","ERROR. Revisar Placa"
"257ZAR","ERROR. Revisar Placa"
"257ZAS","ERROR. Revisar Placa"
"257ZAT","ERROR. Revisar Placa"
"257ZAV","ERROR. Revisar Placa"
"257ZAX","ERROR. Revisar Placa"
"257ZBA","ERROR. Revisar Placa"
"257ZBC","ERROR. Revisar Placa"
"257ZBD","ERROR. Revisar Placa"
"257ZBF","ERROR. Revisar Placa"
"257ZBG","ERROR. Revisar Placa"
"257ZBH","ERROR. Revisar Placa"
"257ZBJ","ERROR. Revisar Placa"
"257ZBL","ERROR. Revisar Placa"
"257ZBN","ERROR. Revisar Placa"
"257ZBP","ERROR. Revisar Placa"
"257ZBR","ERROR. Revisar Placa"
"257ZBS","ERROR. Revisar Placa"
"257ZBT","ERROR. Revisar Placa"
"257ZBV","ERROR. Revisar Placa"
"257ZBW","ERROR. Revisar Placa"
