"placa","estatus","placa_anterior","years_adeudos","years"
"318WTG","Sin adeudos",NA,0,"0"
"318WTH","Sin adeudos",NA,0,"0"
"318WTK","Adeudos",NA,5,"2017"
"318WTK","Adeudos",NA,5,"2018"
"318WTK","Adeudos",NA,5,"2019"
"318WTK","Adeudos",NA,5,"2020"
"318WTK","Adeudos",NA,5,"2021"
"318WTL","Adeudos",NA,1,"2021"
"318WTM","Sin adeudos",NA,0,"0"
"318WTN","Adeudos",NA,3,"2019"
"318WTN","Adeudos",NA,3,"2020"
"318WTN","Adeudos",NA,3,"2021"
"318WTZ","Sin adeudos",NA,0,"0"
"318WUC","Adeudos",NA,6,"2016"
"318WUC","Adeudos",NA,6,"2017"
"318WUC","Adeudos",NA,6,"2018"
"318WUC","Adeudos",NA,6,"2019"
"318WUC","Adeudos",NA,6,"2020"
"318WUC","Adeudos",NA,6,"2021"
"318WUD","Adeudos",NA,4,"2018"
"318WUD","Adeudos",NA,4,"2019"
"318WUD","Adeudos",NA,4,"2020"
"318WUD","Adeudos",NA,4,"2021"
"318WUE","Cuenta con Placa Anterior y Adeudos","399WUB",5,"2017"
"318WUE","Cuenta con Placa Anterior y Adeudos","399WUB",5,"2018"
"318WUE","Cuenta con Placa Anterior y Adeudos","399WUB",5,"2019"
"318WUE","Cuenta con Placa Anterior y Adeudos","399WUB",5,"2020"
"318WUE","Cuenta con Placa Anterior y Adeudos","399WUB",5,"2021"
"318WUF","Cuenta con Placa Anterior y Adeudos","291UAM",6,"2016"
"318WUF","Cuenta con Placa Anterior y Adeudos","291UAM",6,"2017"
"318WUF","Cuenta con Placa Anterior y Adeudos","291UAM",6,"2018"
"318WUF","Cuenta con Placa Anterior y Adeudos","291UAM",6,"2019"
"318WUF","Cuenta con Placa Anterior y Adeudos","291UAM",6,"2020"
"318WUF","Cuenta con Placa Anterior y Adeudos","291UAM",6,"2021"
"318WUJ","Adeudos",NA,3,"2019"
"318WUJ","Adeudos",NA,3,"2020"
"318WUJ","Adeudos",NA,3,"2021"
"318WUK","Sin adeudos",NA,0,"0"
"318WUN","Sin adeudos",NA,0,"0"
"318WUR","Sin adeudos",NA,0,"0"
"318WUS","Adeudos",NA,1,"2021"
"318WUV","Sin adeudos",NA,0,"0"
"318WUW","Adeudos",NA,5,"2017"
"318WUW","Adeudos",NA,5,"2018"
"318WUW","Adeudos",NA,5,"2019"
"318WUW","Adeudos",NA,5,"2020"
"318WUW","Adeudos",NA,5,"2021"
"318WUX","Cuenta con Placa Anterior y Adeudos","617TBW",6,"2016"
"318WUX","Cuenta con Placa Anterior y Adeudos","617TBW",6,"2017"
"318WUX","Cuenta con Placa Anterior y Adeudos","617TBW",6,"2018"
"318WUX","Cuenta con Placa Anterior y Adeudos","617TBW",6,"2019"
"318WUX","Cuenta con Placa Anterior y Adeudos","617TBW",6,"2020"
"318WUX","Cuenta con Placa Anterior y Adeudos","617TBW",6,"2021"
"318WUY","Cuenta con Placa Anterior y Sin adeudos","998WHU",0,"0"
"318WUZ","Sin adeudos",NA,0,"0"
"318WVC","Sin adeudos",NA,0,"0"
"318WVD","Sin adeudos",NA,0,"0"
"318WVE","Adeudos",NA,1,"2021"
"318WVK","Adeudos",NA,4,"2018"
"318WVK","Adeudos",NA,4,"2019"
"318WVK","Adeudos",NA,4,"2020"
"318WVK","Adeudos",NA,4,"2021"
"318WVM","Adeudos",NA,7,"2015"
"318WVM","Adeudos",NA,7,"2016"
"318WVM","Adeudos",NA,7,"2017"
"318WVM","Adeudos",NA,7,"2018"
"318WVM","Adeudos",NA,7,"2019"
"318WVM","Adeudos",NA,7,"2020"
"318WVM","Adeudos",NA,7,"2021"
"318WVN","Adeudos",NA,6,"2016"
"318WVN","Adeudos",NA,6,"2017"
"318WVN","Adeudos",NA,6,"2018"
"318WVN","Adeudos",NA,6,"2019"
"318WVN","Adeudos",NA,6,"2020"
"318WVN","Adeudos",NA,6,"2021"
"318WVP","Sin adeudos",NA,0,"0"
"318WVR","Adeudos",NA,4,"2018"
"318WVR","Adeudos",NA,4,"2019"
"318WVR","Adeudos",NA,4,"2020"
"318WVR","Adeudos",NA,4,"2021"
"318WVS","Adeudos",NA,3,"2019"
"318WVS","Adeudos",NA,3,"2020"
"318WVS","Adeudos",NA,3,"2021"
"318WVV","Sin adeudos",NA,0,"0"
"318WVW","Sin adeudos",NA,0,"0"
"318WVX","ERROR. Revisar Placa",NA,0,"0"
"318WVY","ERROR. Revisar Placa",NA,0,"0"
"318WVZ","ERROR. Revisar Placa",NA,0,"0"
"318WWC","Adeudos",NA,5,"2017"
"318WWC","Adeudos",NA,5,"2018"
